Epoch,Step,Total Loss,Style Loss,Content Loss
1,1,[4.045756e+11],404575420000.0,[150857.48]
1,2,[3.0428253e+11],304282370000.0,[161635.77]
1,3,[2.2187265e+11],221872470000.0,[174734.06]
1,4,[1.6092044e+11],160920240000.0,[189441.75]
1,5,[1.2071607e+11],120715860000.0,[204760.81]
1,6,[9.54989e+10],95498680000.0,[219719.61]
1,7,[7.890571e+10],78905475000.0,[233684.11]
1,8,[6.973506e+10],69734820000.0,[246476.72]
1,9,[6.806937e+10],68069114000.0,[257903.58]
1,10,[7.01743e+10],70174030000.0,[267794.75]
1,11,[7.190753e+10],71907254000.0,[276107.47]
1,12,[7.138427e+10],71383980000.0,[282997.47]
1,13,[6.7994923e+10],67994636000.0,[288695.6]
1,14,[6.2272205e+10],62271910000.0,[293489.75]
1,15,[5.5245246e+10],55244947000.0,[297654.94]
1,16,[4.7940456e+10],47940153000.0,[301380.56]
1,17,[4.111479e+10],41114490000.0,[304810.03]
1,18,[3.5259605e+10],35259298000.0,[308121.38]
1,19,[3.0442312e+10],30442000000.0,[311403.9]
1,20,[2.6640724e+10],26640409000.0,[314731.06]
1,21,[2.3791665e+10],23791348000.0,[318126.03]
1,22,[2.1703252e+10],21702930000.0,[321567.]
1,23,[2.025067e+10],20250343000.0,[325062.53]
1,24,[1.9290665e+10],19290337000.0,[328649.47]
1,25,[1.8666906e+10],18666574000.0,[332339.4]
1,26,[1.8265698e+10],18265362000.0,[336120.66]
1,27,[1.7970506e+10],17970166000.0,[339980.84]
1,28,[1.7715083e+10],17714740000.0,[343887.6]
1,29,[1.7443359e+10],17443010000.0,[347821.1]
1,30,[1.7165443e+10],17165091000.0,[351749.25]
1,31,[1.6866477e+10],16866122000.0,[355646.16]
1,32,[1.6562584e+10],16562224000.0,[359486.75]
1,33,[1.6271898e+10],16271534000.0,[363247.78]
1,34,[1.602564e+10],16025273000.0,[366927.2]
1,35,[1.5813247e+10],15812876000.0,[370508.66]
1,36,[1.5651004e+10],15650631000.0,[373958.56]
1,37,[1.554272e+10],15542344000.0,[377276.6]
1,38,[1.5472817e+10],15472436000.0,[380440.1]
1,39,[1.5415294e+10],15414911000.0,[383446.4]
1,40,[1.5350304e+10],15349918000.0,[386295.84]
1,41,[1.5257096e+10],15256707000.0,[388991.44]
1,42,[1.5137029e+10],15136638000.0,[391530.12]
1,43,[1.498544e+10],14985046000.0,[393920.94]
1,44,[1.4802424e+10],14802028000.0,[396157.34]
1,45,[1.4587215e+10],14586817000.0,[398250.75]
1,46,[1.4342786e+10],14342386000.0,[400204.22]
1,47,[1.4070348e+10],14069945000.0,[402028.53]
1,48,[1.3773314e+10],13772911000.0,[403726.53]
1,49,[1.3455395e+10],13454989000.0,[405316.4]
1,50,[1.3120805e+10],13120398000.0,[406815.7]
1,51,[1.2772191e+10],12771783000.0,[408237.72]
1,52,[1.2421581e+10],12421171000.0,[409581.03]
1,53,[1.207741e+10],12077000000.0,[410855.1]
1,54,[1.1746986e+10],11746574000.0,[412077.25]
1,55,[1.1445948e+10],11445535000.0,[413259.84]
1,56,[1.1182947e+10],11182533000.0,[414412.7]
1,57,[1.0963704e+10],10963288000.0,[415540.25]
1,58,[1.0774469e+10],10774052000.0,[416648.56]
1,59,[1.0619009e+10],10618591000.0,[417750.4]
1,60,[1.0486099e+10],10485680000.0,[418842.44]
1,61,[1.0368989e+10],10368569000.0,[419922.3]
1,62,[1.0258062e+10],10257641000.0,[420985.94]
1,63,[1.0144264e+10],10143842000.0,[422047.97]
1,64,[1.0027563e+10],10027140000.0,[423105.7]
1,65,[9.906321e+09],9905897000.0,[424158.3]
1,66,[9.784485e+09],9784060000.0,[425193.06]
1,67,[9.660117e+09],9659691000.0,[426212.28]
1,68,[9.536953e+09],9536526000.0,[427219.44]
1,69,[9.417478e+09],9417050000.0,[428212.75]
1,70,[9.305292e+09],9304863000.0,[429185.12]
1,71,[9.200574e+09],9200144000.0,[430131.88]
1,72,[9.099616e+09],9099185000.0,[431047.9]
1,73,[9.003107e+09],9002675000.0,[431936.88]
1,74,[8.914577e+09],8914144000.0,[432795.88]
1,75,[8.830392e+09],8829959000.0,[433627.47]
1,76,[8.750977e+09],8750543000.0,[434421.28]
1,77,[8.677084e+09],8676649000.0,[435182.4]
1,78,[8.609525e+09],8609089000.0,[435911.03]
1,79,[8.543878e+09],8543441400.0,[436609.66]
1,80,[8.4767473e+09],8476310000.0,[437276.9]
1,81,[8.4032553e+09],8402817500.0,[437911.94]
1,82,[8.3238595e+09],8323421000.0,[438518.2]
1,83,[8.2386893e+09],8238250000.0,[439092.25]
1,84,[8.145904e+09],8145464300.0,[439639.4]
1,85,[8.043884e+09],8043443700.0,[440160.7]
1,86,[7.935265e+09],7934824000.0,[440653.72]
1,87,[7.822414e+09],7821972500.0,[441113.38]
1,88,[7.706792e+09],7706350600.0,[441548.3]
1,89,[7.5914455e+09],7591003600.0,[441957.78]
1,90,[7.4814725e+09],7481030000.0,[442348.44]
1,91,[7.3764854e+09],7376042500.0,[442722.12]
1,92,[7.2765133e+09],7276070400.0,[443078.84]
1,93,[7.180716e+09],7180272600.0,[443414.47]
1,94,[7.0899046e+09],7089460700.0,[443736.12]
1,95,[7.002245e+09],7001801000.0,[444036.62]
1,96,[6.918841e+09],6918396400.0,[444320.47]
1,97,[6.839277e+09],6838832600.0,[444588.25]
1,98,[6.763026e+09],6762581000.0,[444843.47]
1,99,[6.6914e+09],6690955300.0,[445090.06]
1,100,[6.62267e+09],6622224400.0,[445327.25]
2,1,[6.5566607e+09],6556215300.0,[445558.12]
2,2,[6.493061e+09],6492615000.0,[445782.66]
2,3,[6.429636e+09],6429190000.0,[446002.38]
2,4,[6.365376e+09],6364929500.0,[446218.3]
2,5,[6.30014e+09],6299693600.0,[446426.06]
2,6,[6.234382e+09],6233935400.0,[446628.28]
2,7,[6.1689185e+09],6168471600.0,[446820.38]
2,8,[6.10257e+09],6102123000.0,[447008.78]
2,9,[6.0361846e+09],6035737600.0,[447192.84]
2,10,[5.9716813e+09],5971234000.0,[447375.]
2,11,[5.9105705e+09],5910123000.0,[447555.22]
2,12,[5.8527365e+09],5852289000.0,[447733.44]
2,13,[5.798689e+09],5798241000.0,[447908.1]
2,14,[5.7509284e+09],5750480400.0,[448078.06]
2,15,[5.707699e+09],5707251000.0,[448243.88]
2,16,[5.6661965e+09],5665748000.0,[448407.]
2,17,[5.625631e+09],5625182700.0,[448567.78]
2,18,[5.5852913e+09],5584843000.0,[448718.4]
2,19,[5.544617e+09],5544168000.0,[448866.28]
2,20,[5.5026775e+09],5502228500.0,[449012.]
2,21,[5.458497e+09],5458048000.0,[449152.97]
2,22,[5.414669e+09],5414219300.0,[449287.78]
2,23,[5.372317e+09],5371867600.0,[449422.72]
2,24,[5.3310996e+09],5330650000.0,[449552.06]
2,25,[5.290932e+09],5290482700.0,[449677.8]
2,26,[5.25177e+09],5251320000.0,[449800.06]
2,27,[5.2121795e+09],5211729400.0,[449919.9]
2,28,[5.1709696e+09],5170519600.0,[450034.66]
2,29,[5.12699e+09],5126540000.0,[450145.4]
2,30,[5.0782024e+09],5077752300.0,[450250.22]
2,31,[5.025037e+09],5024586000.0,[450351.62]
2,32,[4.9693875e+09],4968937000.0,[450449.4]
2,33,[4.911083e+09],4910632400.0,[450540.]
2,34,[4.8520407e+09],4851590000.0,[450626.9]
2,35,[4.7946056e+09],4794155000.0,[450706.6]
2,36,[4.739535e+09],4739084300.0,[450780.4]
2,37,[4.687095e+09],4686643700.0,[450847.38]
2,38,[4.6375844e+09],4637133300.0,[450905.28]
2,39,[4.5912264e+09],4590775300.0,[450955.12]
2,40,[4.5485957e+09],4548144600.0,[450996.12]
2,41,[4.508957e+09],4508506000.0,[451028.84]
2,42,[4.47266e+09],4472209000.0,[451055.1]
2,43,[4.4391603e+09],4438709000.0,[451074.62]
2,44,[4.407718e+09],4407267000.0,[451087.03]
2,45,[4.3777434e+09],4377292300.0,[451094.4]
2,46,[4.3480074e+09],4347556400.0,[451099.]
2,47,[4.317774e+09],4317323000.0,[451101.56]
2,48,[4.2863283e+09],4285877200.0,[451103.56]
2,49,[4.253117e+09],4252665900.0,[451106.5]
2,50,[4.2173455e+09],4216894500.0,[451109.72]
2,51,[4.1786294e+09],4178178300.0,[451113.9]
2,52,[4.137584e+09],4137133000.0,[451117.75]
2,53,[4.0954445e+09],4094993400.0,[451122.75]
2,54,[4.053501e+09],4053049900.0,[451129.72]
2,55,[4.0134945e+09],4013043500.0,[451137.25]
2,56,[3.9773683e+09],3976917200.0,[451144.44]
2,57,[3.9450068e+09],3944555800.0,[451152.53]
2,58,[3.9166062e+09],3916155100.0,[451160.5]
2,59,[3.8920522e+09],3891601200.0,[451168.3]
2,60,[3.8710694e+09],3870618400.0,[451174.]
2,61,[3.8520064e+09],3851555300.0,[451177.47]
2,62,[3.833538e+09],3833087000.0,[451176.9]
2,63,[3.8149412e+09],3814490000.0,[451171.94]
2,64,[3.7957665e+09],3795315500.0,[451162.9]
2,65,[3.775786e+09],3775335000.0,[451147.84]
2,66,[3.754703e+09],3754252000.0,[451128.22]
2,67,[3.7324593e+09],3732008200.0,[451104.53]
2,68,[3.7086438e+09],3708192800.0,[451077.53]
2,69,[3.6832353e+09],3682784300.0,[451047.66]
2,70,[3.6562248e+09],3655773700.0,[451014.1]
2,71,[3.6276836e+09],3627232500.0,[450977.34]
2,72,[3.5980723e+09],3597621500.0,[450937.25]
2,73,[3.567865e+09],3567414300.0,[450892.3]
2,74,[3.5381315e+09],3537680600.0,[450843.1]
2,75,[3.5096776e+09],3509226800.0,[450790.4]
2,76,[3.4831562e+09],3482705400.0,[450732.78]
2,77,[3.458696e+09],3458245400.0,[450671.1]
2,78,[3.4360932e+09],3435642600.0,[450603.94]
2,79,[3.4152963e+09],3414845700.0,[450530.16]
2,80,[3.395574e+09],3395123500.0,[450452.56]
2,81,[3.3763287e+09],3375878400.0,[450368.2]
2,82,[3.3565358e+09],3356085500.0,[450279.78]
2,83,[3.3355955e+09],3335145200.0,[450186.3]
2,84,[3.3136653e+09],3313215200.0,[450088.66]
2,85,[3.2911286e+09],3290678500.0,[449989.1]
2,86,[3.268188e+09],3267738000.0,[449888.75]
2,87,[3.2451013e+09],3244651500.0,[449788.25]
2,88,[3.2220104e+09],3221560600.0,[449689.06]
2,89,[3.198835e+09],3198385400.0,[449593.]
2,90,[3.1754079e+09],3174958300.0,[449501.25]
2,91,[3.1514076e+09],3150958000.0,[449413.94]
2,92,[3.1270582e+09],3126609000.0,[449333.97]
2,93,[3.10293e+09],3102480600.0,[449261.03]
2,94,[3.0791662e+09],3078717000.0,[449196.1]
2,95,[3.0564493e+09],3056000300.0,[449138.7]
2,96,[3.0351864e+09],3034737400.0,[449089.16]
2,97,[3.0159007e+09],3015451600.0,[449045.34]
2,98,[2.9988723e+09],2998423300.0,[449007.16]
2,99,[2.9839782e+09],2983529200.0,[448973.72]
2,100,[2.9707192e+09],2970270200.0,[448943.1]
3,1,[2.958381e+09],2957932000.0,[448913.4]
3,2,[2.9460675e+09],2945618700.0,[448881.6]
3,3,[2.9330255e+09],2932576800.0,[448844.03]
3,4,[2.9189133e+09],2918464500.0,[448800.72]
3,5,[2.903361e+09],2902912300.0,[448750.56]
3,6,[2.886419e+09],2885970200.0,[448692.47]
3,7,[2.868072e+09],2867623400.0,[448625.56]
3,8,[2.8489224e+09],2848473900.0,[448549.]
3,9,[2.8290081e+09],2828559600.0,[448460.6]
3,10,[2.8084278e+09],2807979500.0,[448360.34]
3,11,[2.787506e+09],2787057700.0,[448249.12]
3,12,[2.7665009e+09],2766052900.0,[448127.34]
3,13,[2.745744e+09],2745296000.0,[447994.44]
3,14,[2.7258627e+09],2725415000.0,[447851.]
3,15,[2.707577e+09],2707129300.0,[447698.78]
3,16,[2.6910397e+09],2690592300.0,[447537.75]
3,17,[2.6763497e+09],2675902200.0,[447369.78]
3,18,[2.6635863e+09],2663139000.0,[447195.62]
3,19,[2.6521738e+09],2651726800.0,[447014.78]
3,20,[2.6413972e+09],2640950500.0,[446831.2]
3,21,[2.63068e+09],2630233300.0,[446645.2]
3,22,[2.6190804e+09],2618634000.0,[446458.8]
3,23,[2.6059267e+09],2605480400.0,[446275.6]
3,24,[2.590505e+09],2590058800.0,[446095.56]
3,25,[2.5727547e+09],2572308700.0,[445922.1]
3,26,[2.5530086e+09],2552563000.0,[445753.4]
3,27,[2.532098e+09],2531652400.0,[445589.8]
3,28,[2.5110236e+09],2510578200.0,[445431.84]
3,29,[2.4908954e+09],2490450200.0,[445281.22]
3,30,[2.4725737e+09],2472128500.0,[445138.44]
3,31,[2.4564861e+09],2456041200.0,[445002.94]
3,32,[2.4425551e+09],2442110200.0,[444874.56]
3,33,[2.430514e+09],2430069200.0,[444752.84]
3,34,[2.4198633e+09],2419418600.0,[444636.44]
3,35,[2.4100362e+09],2409591800.0,[444524.4]
3,36,[2.4004378e+09],2399993300.0,[444417.88]
3,37,[2.3906573e+09],2390212900.0,[444314.28]
3,38,[2.380453e+09],2380009000.0,[444212.62]
3,39,[2.3695716e+09],2369127400.0,[444112.22]
3,40,[2.3577185e+09],2357274600.0,[444013.]
3,41,[2.3446292e+09],2344185300.0,[443915.38]
3,42,[2.3302141e+09],2329770200.0,[443816.3]
3,43,[2.3146284e+09],2314184700.0,[443713.75]
3,44,[2.298038e+09],2297594400.0,[443607.25]
3,45,[2.281075e+09],2280631600.0,[443496.8]
3,46,[2.2645386e+09],2264095200.0,[443382.97]
3,47,[2.2488548e+09],2248411400.0,[443264.8]
3,48,[2.2343918e+09],2233948700.0,[443142.53]
3,49,[2.2212902e+09],2220847000.0,[443015.44]
3,50,[2.2094648e+09],2209022000.0,[442884.22]
3,51,[2.1986798e+09],2198237200.0,[442749.38]
3,52,[2.1885458e+09],2188103200.0,[442611.06]
3,53,[2.1784914e+09],2178049000.0,[442469.56]
3,54,[2.1682967e+09],2167854300.0,[442325.62]
3,55,[2.1577472e+09],2157305000.0,[442179.9]
3,56,[2.1468908e+09],2146448800.0,[442033.53]
3,57,[2.1357298e+09],2135287900.0,[441886.88]
3,58,[2.124339e+09],2123897200.0,[441739.7]
3,59,[2.1127382e+09],2112296600.0,[441592.34]
3,60,[2.1008739e+09],2100432400.0,[441443.66]
3,61,[2.0887604e+09],2088319100.0,[441294.38]
3,62,[2.0763716e+09],2075930500.0,[441145.25]
3,63,[2.0638889e+09],2063447900.0,[440997.06]
3,64,[2.0515584e+09],2051117600.0,[440849.4]
3,65,[2.039511e+09],2039070300.0,[440702.34]
3,66,[2.0280562e+09],2027615600.0,[440557.3]
3,67,[2.0174557e+09],2017015300.0,[440414.12]
3,68,[2.0078324e+09],2007392100.0,[440273.12]
3,69,[1.9990857e+09],1998645500.0,[440133.88]
3,70,[1.9908837e+09],1990443800.0,[439996.8]
3,71,[1.9829714e+09],1982531600.0,[439862.06]
3,72,[1.9751035e+09],1974663800.0,[439731.22]
3,73,[1.9670551e+09],1966615600.0,[439604.53]
3,74,[1.9585792e+09],1958139800.0,[439482.2]
3,75,[1.949665e+09],1949225600.0,[439364.]
3,76,[1.9403567e+09],1939917400.0,[439249.5]
3,77,[1.9307958e+09],1930356600.0,[439138.06]
3,78,[1.9211638e+09],1920724700.0,[439029.38]
3,79,[1.9116744e+09],1911235500.0,[438923.72]
3,80,[1.902395e+09],1901956200.0,[438818.97]
3,81,[1.893265e+09],1892826400.0,[438713.38]
3,82,[1.8843391e+09],1883900400.0,[438606.2]
3,83,[1.875544e+09],1875105500.0,[438496.16]
3,84,[1.8667021e+09],1866263700.0,[438383.4]
3,85,[1.857831e+09],1857392800.0,[438267.94]
3,86,[1.8488984e+09],1848460300.0,[438149.4]
3,87,[1.8398405e+09],1839402500.0,[438027.38]
3,88,[1.8307475e+09],1830309600.0,[437901.97]
3,89,[1.8217457e+09],1821307900.0,[437772.12]
3,90,[1.8129324e+09],1812494700.0,[437639.12]
3,91,[1.8043946e+09],1803957100.0,[437503.38]
3,92,[1.7962593e+09],1795822000.0,[437365.7]
3,93,[1.7884735e+09],1788036200.0,[437226.9]
3,94,[1.7808964e+09],1780459300.0,[437087.28]
3,95,[1.7734682e+09],1773031200.0,[436947.88]
3,96,[1.7661682e+09],1765731300.0,[436809.3]
3,97,[1.758894e+09],1758457300.0,[436671.75]
3,98,[1.7515569e+09],1751120400.0,[436535.34]
3,99,[1.7441839e+09],1743747600.0,[436400.34]
3,100,[1.7366633e+09],1736227100.0,[436266.34]
4,1,[1.7290198e+09],1728583700.0,[436134.1]
4,2,[1.7212492e+09],1720813200.0,[436002.6]
4,3,[1.7135089e+09],1713073000.0,[435872.16]
4,4,[1.7059178e+09],1705482100.0,[435743.2]
4,5,[1.6985009e+09],1698065300.0,[435614.62]
4,6,[1.6913635e+09],1690928000.0,[435486.44]
4,7,[1.6845244e+09],1684089100.0,[435358.25]
4,8,[1.6779391e+09],1677503900.0,[435230.84]
4,9,[1.671506e+09],1671071000.0,[435103.5]
4,10,[1.6650739e+09],1664639000.0,[434976.75]
4,11,[1.6585151e+09],1658080300.0,[434850.7]
4,12,[1.651862e+09],1651427300.0,[434725.]
4,13,[1.6451401e+09],1644705500.0,[434599.94]
4,14,[1.6385146e+09],1638080100.0,[434475.5]
4,15,[1.6320874e+09],1631653100.0,[434350.9]
4,16,[1.6260507e+09],1625616500.0,[434226.56]
4,17,[1.6203098e+09],1619875700.0,[434103.1]
4,18,[1.6147539e+09],1614320000.0,[433980.]
4,19,[1.609118e+09],1608684000.0,[433857.66]
4,20,[1.6031357e+09],1602702000.0,[433736.4]
4,21,[1.5966493e+09],1596215700.0,[433616.53]
4,22,[1.5896625e+09],1589228900.0,[433498.2]
4,23,[1.582213e+09],1581779600.0,[433381.94]
4,24,[1.5745263e+09],1574093000.0,[433268.2]
4,25,[1.5669376e+09],1566504400.0,[433156.88]
4,26,[1.5598268e+09],1559393800.0,[433047.47]
4,27,[1.5534518e+09],1553018900.0,[432940.03]
4,28,[1.5478964e+09],1547463600.0,[432834.84]
4,29,[1.5431107e+09],1542677900.0,[432731.94]
4,30,[1.5388927e+09],1538460000.0,[432631.28]
4,31,[1.5349055e+09],1534473000.0,[432532.38]
4,32,[1.5308918e+09],1530459400.0,[432434.8]
4,33,[1.5265669e+09],1526134500.0,[432337.94]
4,34,[1.5217491e+09],1521316900.0,[432241.06]
4,35,[1.516346e+09],1515913900.0,[432143.9]
4,36,[1.5104475e+09],1510015500.0,[432046.44]
4,37,[1.5042264e+09],1503794400.0,[431947.9]
4,38,[1.4979182e+09],1497486300.0,[431848.97]
4,39,[1.4917043e+09],1491272600.0,[431748.75]
4,40,[1.4857229e+09],1485291300.0,[431647.5]
4,41,[1.4800607e+09],1479629200.0,[431544.62]
4,42,[1.4747871e+09],1474355600.0,[431440.25]
4,43,[1.4698099e+09],1469378600.0,[431333.3]
